index,URI,Title,Artist,Album,Popularity
0,spotify:track:7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,...Ready For It?,0
1,spotify:track:4Vxu50qVrQcycjRyJQaZLC,Life Changes,Thomas Rhett,Life Changes,58
2,spotify:track:6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,24K Magic,76
3,spotify:track:0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,÷ (Deluxe),75
4,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,x (Deluxe Edition),81
5,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,Havana (feat. Young Thug),Camila Cabello,Havana (feat. Young Thug),0
6,spotify:track:0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,85
7,spotify:track:6C2PfemHQul77DVpnvuAIs,Gonna Fly Now,Bill Conti,Rocky III: Music From The Motion Picture,53
8,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,Red Pill Blues (Deluxe),0
9,spotify:track:34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,x (Deluxe Edition),80
10,spotify:track:3528IXKpbb7OMjdjWYlbfD,Everybody Talks,Neon Trees,Picture Show (Deluxe Edition),47
11,spotify:track:7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,Red,57
12,spotify:track:273dCMFseLcVsoSWx59IoE,Bad Blood,Taylor Swift,1989,65
13,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame (feat. will.i.am),The Script,#3,66
14,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,Payphone,Maroon 5,Overexposed,66
15,spotify:track:2iuZJX9X9P0GKaE93xcPjk,Sugar,Maroon 5,V,78
16,spotify:track:0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,Sugarland,The Incredible Machine,61
17,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,24K Magic,80
18,spotify:track:2Bs4jQEGMycglOfWPBqrVG,Steal My Girl,One Direction,FOUR (Deluxe),76
19,spotify:track:72Q0FQQo32KJloivv5xge2,I'm the One,DJ Khaled,I'm the One,0
20,spotify:track:59HjlYCeBsxdI0fcm3zglw,Wildest Dreams,Taylor Swift,1989,69
21,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,American Teen,77
22,spotify:track:1D1nixOVWOxvNfWi0UD7VX,Unwritten,Natasha Bedingfield,Unwritten,0
23,spotify:track:3zSCNTXI7Ed0PiidZVmzIe,Ignition - Remix,R. Kelly,The Essential R. Kelly,60
24,spotify:track:5tVA6TkbaAH9QMITTQRrNv,Free Fallin',Tom Petty,Full Moon Fever,73
25,spotify:track:3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,76
26,spotify:track:4fINc8dnfcz7AdhFYVA4i7,It Girl,Jason Derulo,Future History (Deluxe Edition),66
27,spotify:track:0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",Train,"Hey, Soul Sister",0
28,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,Woodstock,73
29,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,Closer,81
30,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,TROLLS (Original Motion Picture Soundtrack),70
31,spotify:track:2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,Soulja Boy,iSouljaBoyTellem,73
32,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,79
33,spotify:track:1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,1989,73
